Ticker,Name,ISIN,Exchange,Currency,Region
2588,2588,SG9999015267,,HKD,SG
778,778,SG1O33912138,,HKD,SG
9CI,CAPITALAND INVESTMENT LTD,,SINGAPORE EXCHANGE,JPY,SG
AAREIT,AAREIT,SG2D63974620,,SGD,SG
BN4,KEPPEL,,SINGAPORE EXCHANGE,JPY,SG
BS6,YANGZIJIANG SHIPBUILDING (HOLDINGS,,SINGAPORE EXCHANGE,JPY,SG
C6L,SINGAPORE AIRLINES LTD,,SINGAPORE EXCHANGE,JPY,SG
CAREIT,CAREIT,SGXC43938841,,SGD,SG
CDREIT,CDREIT,SG1T66931158,,SGD,SG
CICT,CAPITALAND INTEGRATED COMMERCIAL T,,SINGAPORE EXCHANGE,JPY,SG
CICT,CICT,SG1M51904654,,SGD,SG
CLAR,CAPITALAND ASCENDAS REIT,,SINGAPORE EXCHANGE,JPY,SG
CLAR,CLAR,SG1M77906915,,SGD,SG
CLAS,CLAS,SGXC16332337,,SGD,SG
CLCT,CLCT,SG1U25933169,,SGD,SG
CLI,CLI,SGXE62145532,,SGD,SG
D05,DBS GROUP HOLDINGS LTD,,SINGAPORE EXCHANGE,JPY,SG
DBS,DBS,SG1L01001701,,SGD,SG
DCREIT,DCREIT,SGXC50067435,,USD,SG
EAGLEHT,EAGLEHT,SGXC28500103,,USD,SG
ECWREIT,ECWREIT,SG1DA7000003,,SGD,SG
EREIT,EREIT,SGXC55341835,,SGD,SG
F34,WILMAR INTERNATIONAL,,SINGAPORE EXCHANGE,JPY,SG
FCT,FCT,SG1T60930966,,SGD,SG
FEHT,FEHT,SG2F08984575,,SGD,SG
FLEX,FLEX,SG9999000020,,USD,SG
FLT,FLT,SG1CI9000006,,SGD,SG
GRAB,GRAB HOLDINGS CLASS A,,NASDAQ,JPY,SG
KDCREIT,KDCREIT,SG1AF6000009,,SGD,SG
KEP,KEP,SG1U68934629,,SGD,SG
KREIT,KREIT,SG1T22929874,,SGD,SG
LREIT,LREIT,SGXC61949712,,SGD,SG
MINT,MINT,SG2C32962814,,SGD,SG
MLT,MLT,SG1S03926213,,SGD,SG
MPACT,MPACT,SG2D18969584,,SGD,SG
MUST,MUST,SG1CI1000004,,USD,SG
NTTDCR,NTTDCR,SGXC92727947,,USD,SG
O39,OVERSEA-CHINESE BANKING LTD,,SINGAPORE EXCHANGE,JPY,SG
OCBC,OCBC,SG1S04926220,,SGD,SG
OUEREIT,OUEREIT,SG2G60000004,,SGD,SG
PREIT,PREIT,SG1V52937132,,SGD,SG
PRIME,PRIME,SGXC75818630,,USD,SG
QZQ6,MSCI SING IX ETS AUG 26,,SINGAPORE EXCHANGE DERIVATIVES CLEARING LIMITED,JPY,SG
S63,SINGAPORE TECHNOLOGIES ENGINEERING,,SINGAPORE EXCHANGE,JPY,SG
S68,SINGAPORE EXCHANGE,,SINGAPORE EXCHANGE,JPY,SG
SASSR,SASSR,SG1ED2000000,,SGD,SG
SCI,SCI,SG1R50925390,,SGD,SG
SE,SEA ADS REPRESENTING CLASS A,,NEW YORK STOCK EXCHANGE INC.,JPY,SG
SERT,SERT,SGXC11267561,,EUR,SG
SGREIT,SGREIT,SG1S18926810,,SGD,SG
SGX,SGX,SG1J26887955,,SGD,SG
SIA,SIA,SG1V61937297,,SGD,SG
ST,ST,SG1T75931496,,SGD,SG
STE,STE,SG1F60858221,,SGD,SG
SUN,SUN,SG1Q52922370,,SGD,SG
U11,UNITED OVERSEAS BANK LTD,,SINGAPORE EXCHANGE,JPY,SG
U96,SEMBCORP INDUSTRIES LTD,,SINGAPORE EXCHANGE,JPY,SG
UOB,UOB,SG1M31001969,,SGD,SG
WIL,WIL,SG1T56930848,,SGD,SG
YZJSGD,YZJSGD,SG1U76934819,,SGD,SG
Z74,SINGAPORE TELECOMMUNICATIONS LTD,,SINGAPORE EXCHANGE,JPY,SG
